site,MHD,MHD,MHD,ZEP,ZEP,ZEP,THD,THD,THD,JFJ,JFJ,JFJ,RPB,RPB,RPB,SMO,SMO,SMO,CGO,CGO,CGO
box,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3
var,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability
1997-11-01,264.27239990234375,0.19621745,1.6193352,,,,264.22620849609376,0.29973018,0.7605511,,,,263.4274047851562,0.2101999,0.43055415,261.4029998779297,0.20873529,0.28522402,260.5453,0.21589643243243176,0.20731954303595018
1997-12-01,264.4681884765625,0.2508047,0.95687366,,,,264.5057098388672,0.27820316,0.77459997,,,,263.81219482421875,0.1925327,0.21993065,261.27280883789064,0.20380914,0.35609362,260.4006,0.20674239294710337,0.19533517123773783
1998-01-01,264.29189147949216,0.2590151,1.303364,,,,264.10400390625,0.32643786,0.53436744,,,,263.70001220703125,0.20316222,0.24867852,261.1384033203125,0.20991445,0.9787691,260.1441,0.22923020942408343,1.206434746449191
1998-02-01,264.0183074951172,0.24109548,0.70752144,,,,264.02939453125,0.34878042,0.43465644,,,,263.4440002441406,0.19875817,0.25987515,260.7533874511719,0.19729632,0.5266321,259.6234,0.23768615131578982,0.284799066126024
1998-03-01,263.82020568847656,0.21093267,0.4866388,,,,263.7812072753906,0.29743737,0.49007887,,,,263.375,0.20631523,0.24100146,260.55560913085935,0.28786722,0.697832,259.24899999999997,0.23515999999999962,0.3429495540252847
1998-04-01,263.82569580078126,0.2316906,0.44030446,,,,263.8169860839844,0.25311193,0.3684887,,,,262.93340454101565,0.20510009,0.262519,260.29278869628905,0.2478025,0.3901219,259.219,0.20885379084967384,0.35228257934176604
1998-05-01,263.62058715820314,0.31118566,1.1436377,,,,263.2860107421875,0.23489523,0.42944592,,,,262.79461059570315,0.21666509,0.22780581,260.4289855957031,0.22161981,0.35528812,259.1864,0.2104390853658533,0.35422337249347574
1998-06-01,262.8023986816406,0.24252352,0.7770953,,,,262.7989013671875,0.22412062,0.721186,,,,262.5060119628906,0.20354177,0.2603322,260.1604949951172,0.22381234,0.42462766,259.2326,0.26084290502793317,0.38079606981859493
1998-07-01,262.30999755859375,0.22616655,0.3455048,,,,262.231591796875,0.32081175,0.48310485,,,,262.2694122314453,0.2382997,0.24914074,260.2950134277344,0.2195017,0.2728302,259.416,0.20967595307917808,0.45308004358246134
1998-08-01,261.70249938964844,0.22361921,0.6181583,,,,261.6816040039063,0.71567184,0.53420925,,,,262.0076934814453,0.2403861,0.3366437,260.3201080322266,0.20938268,0.25605974,259.4872,0.1852646218487389,0.26587482797255724
1998-09-01,261.7611877441406,0.25013322,3.012585,,,,261.9230041503906,0.17380838,0.4581209,,,,261.8248046875,0.23284955,0.3791215,260.25010070800784,0.20890297,0.3135123,259.3058,0.22404012944983845,0.31793726012274576
1998-10-01,262.0870056152344,0.28978318,1.0980259,,,,262.1210021972656,0.22563298,0.48161665,,,,261.677001953125,0.21774018,0.371151,260.0679931640625,0.19984257,0.32002056,259.2677,0.21608728947368372,0.2783256562262304
1998-11-01,262.3294921875,0.2615954,0.45329368,,,,262.4362060546875,0.23411228,0.41346887,,,,262.0469970703125,0.21659943,0.2668029,260.50120849609374,0.19409637,0.3135663,259.222,0.19817143661971895,0.17891609854645796
1998-12-01,262.2547973632812,0.3325746,0.34767008,,,,262.40220947265624,0.23284197,0.3420071,,,,262.14129333496095,0.22723007,0.25143364,260.04998779296875,0.22138359,0.5043184,259.1572,0.21406455635491678,0.30627644922658753
1999-01-01,262.1697113037109,0.31880695,0.37527877,,,,262.2757995605469,0.23658124,0.6515879,,,,262.0419921875,0.21722798,0.22546226,260.4314025878906,0.19653335,0.44060275,259.0156,0.21519044776119398,0.22978240135112643
1999-02-01,262.0707122802734,0.28636807,0.3610226,,,,262.0920104980469,0.24510749,0.27049306,,,,261.9046966552734,0.1997155,0.21211782,260.5159912109375,0.19566107,0.345915,258.7412,0.21170824207492714,0.3065826259998203
1999-03-01,261.94679565429686,0.254944,0.7072617,,,,261.88299560546875,0.2203829,0.32707828,,,,261.6051086425781,0.20393907,0.19388425,259.9868988037109,0.19655734,0.30511242,258.3236,0.20967409604519754,0.322894894444461
1999-04-01,261.7196990966797,0.2875568,0.85100746,,,,261.70579833984374,0.2313743,0.4164789,,,,261.3445983886719,0.213854,0.2214634,259.8444030761719,0.1909661,0.36787957,258.1362,0.16588422976501319,0.30750372976452295
1999-05-01,261.15919799804686,0.19362512,1.9515969,,,,261.3199066162109,0.21874328,0.2790785,,,,260.99010009765624,0.20721142,0.23165417,259.0834075927734,0.22423609,0.6065163,257.92650000000003,0.1900089393939392,0.526969385283844
1999-06-01,260.8105010986328,0.20833227,0.7317147,,,,260.9544982910156,0.22157258,0.3312142,,,,260.77129821777345,0.22940859,0.19029525,259.3447998046875,0.19713874,0.3780296,257.8528,0.2144383714285705,0.4261433722980925
1999-07-01,260.1737915039063,0.22197181,1.0148807,,,,260.21271057128905,0.19489865,0.32424158,,,,260.5163940429687,0.22509772,0.24329601,259.28749084472656,0.19073987,0.27096024,257.92,0.21146670391061442,0.32331290145996494
1999-08-01,260.0740051269531,0.24533686,1.6146284,,,,260.0,0.19890092,0.41113898,,,,260.36749267578125,0.20307139,0.3205713,259.25799560546875,0.23922133,0.28507406,257.998,0.18502615384615415,0.3285290211334339
