# AGAGE data for CFC-11
# Created by chxmr on 2021-03-17 11:48:25.604479
# Contact AGAGE data owners before use 
# This file contains data from the following sites/instruments: 
#===================================================
# MHD 
#   1. ALE
#------------------
# THD 
#   1. ALE
#------------------
# RPB 
#   1. ALE
#------------------
# SMO 
#   1. ALE
#------------------
# CGO 
#   1. ALE
#------------------
# SCALE: SIO-05
# UNITS: ppt
var,mf,mf,mf,mf,mf_variability,mf_variability,mf_variability,mf_variability,sites,sites,sites,sites,instruments,instruments,instruments,instruments
box,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
2002-01-01,258.038,257.73,256.339,254.845,0.4205,0.28600000000000003,0.386,0.193,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2002-02-01,257.83349999999996,257.459,256.192,254.59900000000002,0.386,0.253,0.405,0.22399999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2002-03-01,257.68899999999996,257.21299999999997,256.04400000000004,254.332,0.364,0.214,0.38799999999999996,0.27399999999999997,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2002-04-01,257.3665,257.108,255.45,254.075,0.35850000000000004,0.215,0.39399999999999996,0.264,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2002-05-01,256.996,256.702,254.98,253.82,0.378,0.284,0.396,0.28800000000000003,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2002-06-01,256.6175,256.465,254.842,253.739,0.36,0.278,0.361,0.289,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2002-07-01,256.17600000000004,256.154,254.87400000000002,253.7,0.41,0.28600000000000003,0.27399999999999997,0.251,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2002-08-01,255.77800000000002,256.034,254.56400000000002,253.707,0.4515,0.276,0.39799999999999996,0.245,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2002-09-01,255.8845,255.73,254.418,253.512,0.517,0.402,0.359,0.282,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2002-10-01,256.101,255.71599999999998,254.271,253.248,0.46349999999999997,0.36200000000000004,0.385,0.233,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2002-11-01,256.14,255.925,254.321,253.012,0.4435,0.342,0.321,0.221,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2002-12-01,256.242,255.791,253.982,252.68099999999998,0.495,0.35200000000000004,0.53,0.205,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-01-01,255.86700000000002,255.679,254.33700000000002,252.24,0.45400000000000007,0.273,0.484,0.245,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-02-01,255.71499999999997,255.43400000000003,253.605,251.896,0.35550000000000004,0.254,0.603,0.22,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-03-01,255.572,255.17700000000002,254.08900000000003,251.697,0.357,0.24100000000000002,0.42100000000000004,0.256,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-04-01,255.54000000000002,255.048,253.618,251.541,0.4675,0.253,0.46799999999999997,0.28,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-05-01,255.2285,254.80200000000002,253.097,251.697,0.393,0.324,0.379,0.261,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-06-01,254.73950000000002,254.5,252.612,251.62,0.39449999999999996,0.306,0.34299999999999997,0.28,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-07-01,254.2795,254.331,252.87599999999998,251.93900000000002,0.449,0.316,0.349,0.39,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-08-01,253.718,254.132,252.859,252.305,0.45600000000000007,0.306,0.40299999999999997,0.22399999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-09-01,253.816,253.92700000000002,252.69099999999997,252.192,0.437,0.426,0.377,0.21100000000000002,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-10-01,254.0915,253.84900000000002,252.543,252.12,0.35050000000000003,0.507,0.33,0.177,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-11-01,254.2695,253.804,252.405,252.013,0.2935,0.431,0.39,0.17300000000000001,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2003-12-01,254.48399999999998,254.107,252.601,251.791,0.3115,0.391,0.498,0.214,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-01-01,254.182,253.903,252.13400000000001,251.426,0.356,0.397,0.6509999999999999,0.21100000000000002,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-02-01,253.9965,253.706,252.342,251.07,0.33799999999999997,0.522,0.359,0.217,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-03-01,253.775,253.358,252.25799999999998,250.722,0.326,0.461,0.447,0.273,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-04-01,253.4235,253.06099999999998,251.824,250.30900000000003,0.295,0.425,0.583,0.313,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-05-01,253.1775,252.851,251.40200000000002,250.158,0.3205,0.387,0.27699999999999997,0.297,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-06-01,252.734,252.558,251.148,249.90599999999998,0.3395,0.426,0.42200000000000004,0.308,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-07-01,252.13799999999998,252.208,250.96900000000002,249.86700000000002,0.3225,0.39899999999999997,0.34600000000000003,0.252,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-08-01,251.8245,252.054,251.15099999999998,249.87,0.3785,0.514,0.284,0.231,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-09-01,251.60399999999998,251.94,250.76,249.702,0.389,0.493,0.31,0.212,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-10-01,251.89,251.838,250.618,249.505,0.353,0.414,0.377,0.217,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-11-01,252.08749999999998,251.80700000000002,250.743,249.32,0.274,0.63,0.375,0.18899999999999997,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2004-12-01,252.166,251.896,250.49200000000002,249.11900000000003,0.3135,0.539,0.414,0.16699999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-01-01,251.97699999999998,251.903,250.84400000000002,248.799,0.31699999999999995,0.5720000000000001,0.402,0.22,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-02-01,251.8545,251.662,250.074,248.424,0.3065,0.5710000000000001,0.626,0.2,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-03-01,251.75900000000001,251.438,250.327,248.075,0.34650000000000003,0.415,0.46799999999999997,0.266,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-04-01,251.935,250.39,249.858,247.799,0.28600000000000003,0.42700000000000005,0.447,0.278,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-05-01,251.7825,250.16,249.18099999999998,247.736,0.3285,0.275,0.526,0.285,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-06-01,251.2735,249.80900000000003,249.269,247.796,0.2705,0.302,0.419,0.23800000000000002,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-07-01,250.52100000000002,249.67,248.94400000000002,247.683,0.39949999999999997,0.493,0.466,0.24600000000000002,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-08-01,249.88,249.34,249.072,247.6,0.3355,0.441,0.396,0.233,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-09-01,249.7455,249.263,249.03900000000002,247.477,0.348,0.428,0.389,0.209,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-10-01,249.8145,249.171,248.921,247.377,0.3235,0.389,0.35200000000000004,0.21899999999999997,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-11-01,249.885,249.25900000000001,248.91099999999997,247.282,0.2905,0.353,0.33299999999999996,0.22,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2005-12-01,249.9275,249.396,248.842,246.993,0.3185,0.273,0.379,0.221,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-01-01,249.6585,249.15599999999998,248.88299999999998,246.68200000000002,0.33099999999999996,0.24,0.429,0.255,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-02-01,249.5455,248.88099999999997,248.826,246.388,0.33999999999999997,0.275,0.596,0.214,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-03-01,249.10500000000002,248.541,247.49,246.33900000000003,0.317,0.374,0.371,0.245,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-04-01,248.7445,248.33599999999998,247.21099999999998,245.953,0.2675,0.373,0.40399999999999997,0.27,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-05-01,248.457,247.995,247.372,245.768,0.32799999999999996,0.306,0.345,0.28600000000000003,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-06-01,247.94349999999997,247.953,246.611,245.77200000000002,0.3625,0.258,0.275,0.247,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-07-01,247.698,247.675,246.37099999999998,245.69400000000002,0.3045,0.217,0.40399999999999997,0.21899999999999997,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-08-01,247.147,247.37099999999998,245.947,245.572,0.27949999999999997,0.322,0.325,0.21600000000000003,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-09-01,247.1265,247.05599999999998,245.926,245.43099999999998,0.3335,0.33899999999999997,0.26899999999999996,0.213,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-10-01,247.5915,246.945,245.722,245.225,0.28700000000000003,0.287,0.444,0.203,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-11-01,247.5765,246.963,245.512,245.43200000000002,0.2895,0.292,0.35200000000000004,0.185,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2006-12-01,247.591,247.132,245.52,245.266,0.3025,0.218,0.392,0.188,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-01-01,247.37699999999998,246.972,245.416,244.976,0.269,0.225,0.44,0.213,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-02-01,247.245,246.75099999999998,246.011,244.61900000000003,0.3065,0.245,0.32799999999999996,0.20199999999999999,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-03-01,247.0975,246.611,245.73,244.19,0.2965,0.192,0.332,0.267,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-04-01,246.9925,246.386,245.34599999999998,243.85299999999998,0.274,0.192,0.36700000000000005,0.272,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-05-01,246.762,246.293,245.135,243.608,0.3165,0.22399999999999998,0.318,0.32,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-06-01,246.36649999999997,246.25599999999997,244.643,243.55700000000002,0.2865,0.228,0.321,0.23199999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-07-01,245.89100000000002,246.144,244.523,243.609,0.27549999999999997,0.379,0.293,0.265,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-08-01,245.4415,245.715,244.166,243.863,0.22,0.285,0.293,0.213,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-09-01,245.39100000000002,245.50799999999998,243.946,243.75400000000002,0.308,0.425,0.267,0.196,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-10-01,245.5105,245.36599999999999,244.072,243.64700000000002,0.323,0.336,0.31,0.17800000000000002,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-11-01,245.6825,245.343,244.209,243.53099999999998,0.264,0.253,0.332,0.18,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2007-12-01,245.57350000000002,245.227,243.847,243.301,0.28150000000000003,0.248,0.524,0.177,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2008-01-01,245.4415,245.053,244.054,243.018,0.28800000000000003,0.23800000000000002,0.509,0.193,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2008-02-01,245.1985,244.82,243.75,242.824,0.2735,0.263,0.461,0.213,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2008-03-01,244.94299999999998,244.475,243.49099999999999,242.365,0.2545,0.24600000000000002,0.426,0.26899999999999996,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2008-04-01,244.721,,243.225,242.115,0.287,,0.445,0.271,MHD|THD,,SMO,CGO,ALE|ALE,,ALE,ALE
2008-05-01,244.546,243.979,243.054,242.09099999999998,0.2815,0.298,0.45799999999999996,0.336,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2008-06-01,244.10700000000003,243.83700000000002,242.736,242.25400000000002,0.26,0.298,0.48200000000000004,0.297,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2008-07-01,243.79199999999997,243.763,242.227,242.035,0.317,0.287,0.349,0.223,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2008-08-01,243.4495,243.52700000000002,242.125,241.91299999999998,0.268,0.37200000000000005,0.292,0.19699999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2008-09-01,243.495,243.328,242.08599999999998,241.778,0.343,0.391,0.447,0.209,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2008-10-01,243.878,243.28,242.31099999999998,241.726,0.355,0.435,0.251,0.19399999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2008-11-01,244.02700000000002,243.607,242.389,241.53,0.30000000000000004,0.34299999999999997,0.292,0.188,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2008-12-01,243.978,243.524,242.468,241.36599999999999,0.2855,0.32899999999999996,0.396,0.177,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-01-01,243.6155,243.09799999999998,242.454,241.15400000000002,0.32699999999999996,0.287,0.366,0.19399999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-02-01,243.25,242.90400000000002,242.149,240.916,0.321,0.255,0.365,0.204,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-03-01,242.876,242.59099999999998,241.96200000000002,240.48,0.251,0.262,0.384,0.273,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-04-01,242.6085,242.417,241.50599999999997,240.236,0.267,0.251,0.41200000000000003,0.332,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-05-01,242.3665,242.21900000000002,241.275,240.072,0.2575,0.262,0.41,0.32,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-06-01,242.2285,242.075,240.734,240.105,0.215,0.28800000000000003,0.46799999999999997,0.278,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-07-01,241.91,241.713,240.78400000000002,239.9,0.21000000000000002,0.33799999999999997,0.316,0.23399999999999999,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-08-01,241.626,241.765,240.55900000000003,239.93900000000002,0.23199999999999998,0.37799999999999995,0.371,0.301,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-09-01,241.82049999999998,241.893,240.361,239.91299999999998,0.257,0.20199999999999999,0.275,0.22899999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-10-01,242.05450000000002,241.85,239.97799999999998,239.81599999999997,0.2655,0.198,0.313,0.16399999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-11-01,242.15300000000002,241.61599999999999,240.135,239.847,0.23149999999999998,0.258,0.322,0.222,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2009-12-01,242.08100000000002,241.78900000000002,240.18200000000002,239.77,0.2645,0.172,0.535,0.196,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2010-01-01,241.8975,,240.27599999999998,239.498,0.27,,0.376,0.207,MHD|THD,,SMO,CGO,ALE|ALE,,ALE,ALE
2010-02-01,241.676,241.28,239.657,239.218,0.245,0.145,0.57,0.26,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2010-03-01,241.36149999999998,241.045,239.89,238.917,0.2415,0.17,0.37200000000000005,0.295,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2010-04-01,241.1755,240.922,239.93900000000002,238.703,0.248,0.179,0.289,0.295,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2010-05-01,240.8055,240.71,,238.519,0.237,0.19,,0.262,MHD|THD,RPB,,CGO,ALE|ALE,ALE,,ALE
2010-06-01,240.4315,240.298,,238.447,0.2815,0.304,,0.233,MHD|THD,RPB,,CGO,ALE|ALE,ALE,,ALE
2010-07-01,240.0315,240.06400000000002,239.213,238.403,0.2535,0.261,0.316,0.204,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2010-08-01,239.585,239.709,238.59099999999998,238.459,0.28,0.313,0.355,0.207,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2010-09-01,239.577,239.605,238.345,238.18099999999998,0.2505,0.32299999999999995,0.32,0.217,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2010-10-01,239.909,239.71099999999998,238.44099999999997,237.898,0.3295,0.308,0.35,0.231,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2010-11-01,239.781,,238.354,237.388,0.342,,0.318,0.212,MHD|THD,,SMO,CGO,ALE|ALE,,ALE,ALE
2010-12-01,239.67649999999998,239.702,238.257,237.19799999999998,0.27149999999999996,0.223,0.361,0.21899999999999997,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2011-01-01,239.3735,239.549,,236.981,0.28300000000000003,0.20800000000000002,,0.21899999999999997,MHD|THD,RPB,,CGO,ALE|ALE,ALE,,ALE
2011-02-01,239.0855,239.297,238.012,236.785,0.266,0.22899999999999998,0.248,0.214,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2011-03-01,238.969,238.97799999999998,237.829,236.47,0.299,0.196,0.42,0.26,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2011-04-01,238.725,238.614,237.396,236.287,0.29200000000000004,0.257,0.375,0.289,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2011-05-01,238.62550000000002,238.357,237.132,236.00799999999998,0.34750000000000003,0.254,0.43700000000000006,0.265,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2011-06-01,238.15200000000002,238.041,236.858,235.74900000000002,0.2855,0.299,0.282,0.299,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2011-07-01,237.724,237.80700000000002,236.38299999999998,235.64700000000002,0.302,0.285,0.271,0.251,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2011-08-01,237.21699999999998,237.611,236.412,235.732,0.26149999999999995,0.301,0.449,0.23,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2011-09-01,237.4065,237.483,236.516,235.545,0.368,0.37799999999999995,0.308,0.223,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2011-10-01,237.596,237.56400000000002,236.176,235.40900000000002,0.374,0.264,0.447,0.192,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2011-11-01,237.738,237.395,236.313,235.22799999999998,0.35,0.331,0.47100000000000003,0.218,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2011-12-01,237.661,237.34599999999998,235.985,235.013,0.35650000000000004,0.289,0.415,0.16899999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2012-01-01,237.3915,237.33700000000002,235.935,,0.34299999999999997,0.257,0.45,,MHD|THD,RPB,SMO,,ALE|ALE,ALE,ALE,
2012-02-01,237.13649999999998,237.169,236.076,234.998,0.31400000000000006,0.28600000000000003,0.366,0.18600000000000003,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2012-03-01,236.89249999999998,236.91099999999997,235.521,234.87599999999998,0.30800000000000005,0.27,0.457,0.262,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2012-04-01,236.7165,236.49900000000002,235.699,234.60299999999998,0.31,0.26,0.43799999999999994,0.281,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2012-05-01,236.4435,236.179,234.718,234.52,0.3125,0.22699999999999998,0.457,0.27699999999999997,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2012-06-01,236.042,235.898,234.85,234.47099999999998,0.3395,0.23199999999999998,0.38,0.22399999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2012-07-01,235.4725,235.459,234.734,234.533,0.35050000000000003,0.278,0.28800000000000003,0.187,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2012-08-01,235.1475,235.34799999999998,234.618,234.36,0.3385,0.303,0.28800000000000003,0.22899999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2012-09-01,235.356,235.357,234.44099999999997,234.233,0.378,0.332,0.27699999999999997,0.212,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2012-10-01,235.8345,235.263,234.326,234.041,0.377,0.337,0.27,0.203,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2012-11-01,235.974,235.58900000000003,234.31400000000002,233.803,0.4215,0.33299999999999996,0.289,0.17800000000000002,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2012-12-01,236.074,235.59599999999998,234.266,233.532,0.33899999999999997,0.27899999999999997,0.41600000000000004,0.24,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-01-01,235.95299999999997,235.42700000000002,234.27,233.12400000000002,0.28900000000000003,0.26,0.53,0.218,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-02-01,235.661,235.17,234.032,232.84400000000002,0.3065,0.252,0.59,0.264,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-03-01,235.353,234.99900000000002,233.94,232.688,0.274,0.171,0.284,0.322,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-04-01,235.019,234.815,233.697,232.362,0.314,0.214,0.341,0.299,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-05-01,234.9435,234.525,233.304,232.422,0.268,0.133,0.386,0.29600000000000004,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-06-01,234.88600000000002,234.644,233.109,232.385,0.322,0.21100000000000002,0.32,0.256,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-07-01,234.399,234.519,232.968,232.40599999999998,0.358,0.261,0.377,0.248,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-08-01,233.8715,234.28099999999998,232.676,232.22,0.2885,0.24100000000000002,0.254,0.247,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-09-01,234.005,234.149,232.572,232.179,0.3825,0.248,0.35100000000000003,0.231,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-10-01,234.6775,234.14,232.36599999999999,232.123,0.4575,0.384,0.418,0.228,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-11-01,234.756,234.36700000000002,232.275,231.94400000000002,0.3255,0.342,0.36,0.193,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2013-12-01,234.5645,234.515,232.327,231.735,0.311,0.26899999999999996,0.614,0.228,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2014-01-01,234.375,234.282,232.67,231.426,0.3395,0.244,0.38799999999999996,0.25,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2014-02-01,234.0495,233.94400000000002,232.3,231.183,0.3315,0.215,0.363,0.254,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2014-03-01,233.92450000000002,233.644,232.072,230.98,0.3035,0.21600000000000003,0.6940000000000001,0.265,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2014-04-01,233.98000000000002,233.595,231.609,230.571,0.27749999999999997,0.24100000000000002,0.35100000000000003,0.299,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2014-05-01,233.9355,233.416,231.207,230.62099999999998,0.288,0.242,0.424,0.317,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2014-06-01,233.957,233.31,230.821,230.639,0.2615,0.251,0.413,0.27,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2014-07-01,233.735,,230.981,230.778,0.267,,0.381,0.294,MHD|THD,,SMO,CGO,ALE|ALE,,ALE,ALE
2014-08-01,233.56699999999998,,230.81,230.465,0.2595,,0.376,0.294,MHD|THD,,SMO,CGO,ALE|ALE,,ALE,ALE
2014-09-01,233.8175,,230.717,230.187,0.339,,0.28300000000000003,0.215,MHD|THD,,SMO,CGO,ALE|ALE,,ALE,ALE
2014-10-01,233.9305,232.93099999999998,230.695,230.113,0.307,0.523,0.336,0.23199999999999998,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2014-11-01,233.964,233.268,230.787,229.981,0.315,0.52,0.426,0.221,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2014-12-01,233.70049999999998,233.215,230.354,229.895,0.2765,0.402,0.47100000000000003,0.207,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
2015-01-01,233.37800000000001,232.951,230.89,229.67700000000002,0.375,0.317,0.452,0.233,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
